Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.751233022,0.598582406,0.666205146,0.711771563,0.49764193,0.585251016,250,275,57,2.5,27,3,,,,,,,,,,
0.849416048,0.482494708,0.613410547,0.733178892,0.355930922,0.479001537,250,275,57,2.5,27,11,,,,,,,,,,
0.848645494,0.458018075,0.592578005,0.76591241,0.352757429,0.482849628,250,275,57,2.5,27,19,,,,,,,,,,
0.802564572,0.593179963,0.681276228,0.694490984,0.400513345,0.507876064,250,275,57,2.5,49,3,,,,,,,,,,
0.782035026,0.575290428,0.662684472,0.611620731,0.317026837,0.416434078,250,275,57,2.5,49,11,,,,,,,,,,
0.843885635,0.511980774,0.63585725,0.708779041,0.297384149,0.418617868,250,275,57,2.5,49,19,,,,,,,,,,
0.817954203,0.130073466,0.221706261,0.748328037,0.090855675,0.161887235,250,275,57,11.25,5,3,,,,,,,,,,
0.856649909,0.174689505,0.287707425,0.784917362,0.121800428,0.21046824,250,275,57,11.25,5,11,,,,,,,,,,
0.819040291,0.160627921,0.266731927,0.743135486,0.117804561,0.203284231,250,275,57,11.25,5,19,,,,,,,,,,
0.875832037,0.36512253,0.513716461,0.639230233,0.184024568,0.285259446,250,275,57,11.25,27,3,,,,,,,,,,
0.87799058,0.273950755,0.416265763,0.718982687,0.13228221,0.223082674,250,275,57,11.25,27,11,,,,,,,,,,
0.869858924,0.258731744,0.395945642,0.691106473,0.116271788,0.198689277,250,275,57,11.25,27,19,,,,,,,,,,
0.929254246,0.398878455,0.55637992,0.463343543,0.118620476,0.188306334,250,275,57,11.25,49,3,,,,,,,,,,
0.919524506,0.337536036,0.490794709,0.711564745,0.137969191,0.230896237,250,275,57,11.25,49,11,,,,,,,,,,
0.897450921,0.323907221,0.47261632,0.707583155,0.11992274,0.204691936,250,275,57,11.25,49,19,,,,,,,,,,
0.807078007,0.082050789,0.147648772,0.598814695,0.024148752,0.046410485,250,275,57,20,5,3,,,,,,,,,,
0.835796288,0.109231037,0.189185784,0.678304563,0.054072225,0.100115614,250,275,57,20,5,11,,,,,,,,,,
0.818317155,0.082782966,0.149623501,0.644644815,0.038982293,0.073343714,250,275,57,20,5,19,,,,,,,,,,
0.86805593,0.250625503,0.383960205,0.633501565,0.086259819,0.151783183,250,275,57,20,27,3,,,,,,,,,,
0.927154354,0.209329725,0.337186324,0.567733471,0.03258448,0.061408234,250,275,57,20,27,11,,,,,,,,,,
0.932015183,0.191045294,0.310494844,0.712205635,0.040212101,0.076080645,250,275,57,20,27,19,,,,,,,,,,
0.908617342,0.333019523,0.484669959,0.691662474,0.13903242,0.231093852,250,275,57,20,49,3,,,,,,,,,,
0.926110775,0.293414622,0.440470628,0.681719096,0.071358622,0.128879679,250,275,57,20,49,11,,,,,,,,,,
0.918293822,0.258493737,0.401610686,0.632678307,0.090931301,0.157953393,250,275,57,20,49,19,,,,,,,,,,
0.774932872,0.436555434,0.557518692,0.73312431,0.420901836,0.534470462,250,275,99,2.5,5,3,,,,,,,,,,
