Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.813607676,0.313405357,0.443941357,100,350,93,20,73
0.597527403,0.452121626,0.51398462,100,350,171,2.5,10
0.569263629,0.468176599,0.513256338,100,350,171,2.5,31
0.560839936,0.469808247,0.511114624,100,350,171,2.5,52
0.588644813,0.485480764,0.531299023,100,350,171,2.5,73
0.644085629,0.152764005,0.244165274,100,350,171,8.333333333,10
0.668332355,0.262679143,0.374324616,100,350,171,8.333333333,31
0.686453712,0.26603824,0.380179283,100,350,171,8.333333333,52
0.682313149,0.341251306,0.453550278,100,350,171,8.333333333,73
0.684568081,0.133034858,0.219268184,100,350,171,14.16666667,10
0.693770102,0.232310146,0.340047249,100,350,171,14.16666667,31
0.784318491,0.323486354,0.455060228,100,350,171,14.16666667,52
0.77706097,0.309394681,0.436458258,100,350,171,14.16666667,73
0.686767152,0.117792029,0.196519672,100,350,171,20,10
0.769009795,0.230001068,0.34805166,100,350,171,20,31
0.792829257,0.283201658,0.413076444,100,350,171,20,52
0.821192422,0.247288879,0.371397977,100,350,171,20,73
0.59280991,0.42881551,0.497217797,100,350,249,2.5,10
0.562501355,0.462553112,0.50720505,100,350,249,2.5,31
0.562601729,0.465484974,0.509023673,100,350,249,2.5,52
0.579855101,0.472988019,0.520326432,100,350,249,2.5,73
0.605183049,0.138805673,0.224593729,100,350,249,8.333333333,10
0.674226037,0.232418136,0.344109393,100,350,249,8.333333333,31
0.680655478,0.272499936,0.386745863,100,350,249,8.333333333,52
0.682681926,0.295770884,0.410387596,100,350,249,8.333333333,73
0.667322383,0.10904825,0.184819851,100,350,249,14.16666667,10
0.74023917,0.21409296,0.328661816,100,350,249,14.16666667,31
0.726259873,0.260492504,0.379471223,100,350,249,14.16666667,52
0.787312681,0.297468575,0.429224698,100,350,249,14.16666667,73
0.657843273,0.094761858,0.163596001,100,350,249,20,10
0.738122835,0.206746663,0.318894091,100,350,249,20,31
0.778530135,0.254267198,0.378143304,100,350,249,20,52
0.781895191,0.257693757,0.383127862,100,350,249,20,73
0.616728996,0.582853298,0.598822742,100,500,15,2.5,10
0.708726272,0.518743623,0.59592943,100,500,15,2.5,31
0.708002836,0.523417411,0.591211166,100,500,15,2.5,52
0.674088581,0.519924856,0.583017895,100,500,15,2.5,73
0.659146192,0.207836576,0.306348225,100,500,15,8.333333333,10
0.762465017,0.416449837,0.51723753,100,500,15,8.333333333,31
0.723913413,0.387814272,0.495115185,100,500,15,8.333333333,52
0.820792811,0.39719673,0.499499847,100,500,15,8.333333333,73
0.645034362,0.138246985,0.215330927,100,500,15,14.16666667,10
0.838246407,0.361597934,0.483608618,100,500,15,14.16666667,31
0.81867533,0.314046832,0.430823715,100,500,15,14.16666667,52
0.876851869,0.459649085,0.572570541,100,500,15,14.16666667,73
0.609210378,0.072077765,0.12063355,100,500,15,20,10
0.79946454,0.382559855,0.490074921,100,500,15,20,31
0.832662118,0.391205613,0.504549713,100,500,15,20,52
0.791588115,0.195935966,,100,500,15,20,73
0.615034645,0.4321527,0.506482805,100,500,93,2.5,10
0.562624662,0.420279204,0.480394625,100,500,93,2.5,31
0.606148808,0.47744189,0.53295277,100,500,93,2.5,52
0.616422864,0.456482054,0.523556262,100,500,93,2.5,73
0.714355389,0.240011752,0.356412827,100,500,93,8.333333333,10
0.698215684,0.300797191,0.417031884,100,500,93,8.333333333,31
0.727199299,0.329472225,0.448154734,100,500,93,8.333333333,52
0.744096164,0.34328443,0.465444054,100,500,93,8.333333333,73
0.655821079,0.148112846,0.236560822,100,500,93,14.16666667,10
0.716119856,0.252961535,0.361776363,100,500,93,14.16666667,31
0.80208554,0.323332265,0.450755867,100,500,93,14.16666667,52
0.783546492,0.339785397,0.469273683,100,500,93,14.16666667,73
0.75531293,0.164084535,0.266321626,100,500,93,20,10
0.78778481,0.264852747,0.387872065,100,500,93,20,31
0.733114807,0.266102015,0.382062094,100,500,93,20,52
0.877725117,0.36318128,0.507263501,100,500,93,20,73
0.597251007,0.445638517,0.509570285,100,500,171,2.5,10
0.592026222,0.47141769,0.523877288,100,500,171,2.5,31
0.607769939,0.472944702,0.531204153,100,500,171,2.5,52
0.57489433,0.457744612,0.509067666,100,500,171,2.5,73
0.644441942,0.197374679,0.299288036,100,500,171,8.333333333,10
0.639458597,0.264804371,0.372175585,100,500,171,8.333333333,31
0.73237401,0.322444886,0.445527422,100,500,171,8.333333333,52
0.7372651,0.339706776,0.461327955,100,500,171,8.333333333,73
0.659796537,0.116589599,0.19495248,100,500,171,14.16666667,10
0.763110756,0.265575725,0.387288345,100,500,171,14.16666667,31
0.751070865,0.320589328,0.440147323,100,500,171,14.16666667,52
0.772594495,0.284605727,0.409572961,100,500,171,14.16666667,73
0.735938136,0.124409021,0.207657923,100,500,171,20,10
0.787562549,0.244298137,0.362105747,100,500,171,20,31
0.781851391,0.273083359,0.396885991,100,500,171,20,52
0.802433196,0.296800072,0.425990852,100,500,171,20,73
0.594512267,0.429033868,0.496406685,100,500,249,2.5,10
0.573686929,0.450398133,0.503731067,100,500,249,2.5,31
0.555169499,0.461537417,0.503188981,100,500,249,2.5,52
0.569295558,0.483326555,0.522369058,100,500,249,2.5,73
